Tech #,Technology,Technology subcategory,Technology type,Units,Region,Country,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,Indicator
1,Robotics & Smart Machines,Weeding robots,Hardware,Units,EU Europe,Denmark,131496.5,131412.14836696393,131327.85084333757,131243.6073944111,131159.41798549707,131075.28258193014,130991.20114906724,130907.1736522876,130823.20005699259,130739.28032860579,130655.41443257296,130571.60233436202,130487.84399946305,130404.13939338825,130320.48848167197,130236.89122987067,130153.34760356287,130069.85756834921,129986.42108985235,129903.03813371705,129819.70866561009,market_potential
1,Robotics & Smart Machines,Weeding robots,Hardware,Units,EU Europe,Estonia,48766.0,48816.699181937845,48867.36584165045,48918.0,49023.490464376606,49129.20841634622,49235.15434648023,49341.32874640795,49447.73210881887,49554.36492746496,49661.22769716295,49768.320913796626,49875.645074319145,49983.20067675532,50090.98822020395,50199.008204840124,50307.261131917556,50415.74750377089,50524.467823818035,50633.42259656254,50742.612327595874,market_potential
1,Robotics & Smart Machines,Weeding robots,Hardware,Units,EU Europe,Finland,114085.5,113742.82958229953,113401.18841910703,113060.57341892466,112720.98149954037,112382.40958799986,112044.85462057889,111708.3135427555,111372.78330918233,111038.26088365918,110704.74323910543,110372.2273575327,110040.71023001749,109710.18885667401,109380.66024662704,109052.12141798479,108724.569397812,108398.00122210298,108072.4139357548,107747.8045925406,107424.17025508288,market_potential
1,Robotics & Smart Machines,Weeding robots,Hardware,Units,EU Europe,France,1368231.5,1365500.1375501484,1362776.9790974008,1360062.0,1357399.9335327367,1354743.0775616684,1352091.4218882255,1349444.9563338,1346803.6707397066,1344167.5549671436,1341536.5988971544,1338910.7924305885,1336290.125488062,1333674.5880099197,1331064.1699561968,1328458.861306579,1325858.652060366,1323263.5322364308,1320673.4918731833,1318088.521028531,1315508.6097798417,market_potential
1,Robotics & Smart Machines,Weeding robots,Hardware,Units,EU Europe,Germany,829751.0,829592.5244750315,829434.5249516089,829277.0,828708.9460175628,828141.2811515811,827574.0051355106,827007.1177029895,826440.6185878385,825874.5075240603,825308.7842458403,824743.4484875457,824178.4999837256,823613.9384691112,823049.7636786151,822485.9753473317,821922.573210537,821359.5570036876,820796.9264624224,820234.6813225605,819672.8213201024,market_potential
1,Robotics & Smart Machines,Weeding robots,Hardware,Units,EU Europe,Greece,141144.5,140863.9916340748,140584.32581096992,140305.5,132815.9771438896,125726.24583274501,119014.96515039616,112661.93336110013,106648.02709996606,100955.1438094017,95566.14724830876,90464.81591000326,85635.79419359307,81064.54618183244,76737.31188631977,72641.06582833157,68763.47783061581,65092.87590212378,61618.21110395895,58329.0242907853,55215.414627582824,market_potential
1,Robotics & Smart Machines,Weeding robots,Hardware,Units,EU Europe,Hungary,246087.0,248852.96628283567,251610.62463152065,254360.0,256620.02931248923,258900.1393471569,261200.50852443368,263521.31685004424,265862.7459290931,268224.978980275,270608.2008502122,273012.5980279188,275438.35865939356,277885.6725623428,280354.7312410331,282845.72790127754,285358.8574655535,287894.31658825587,290452.3036710854,293033.0188785735,295636.6641537456,market_potential
1,Robotics & Smart Machines,Weeding robots,Hardware,Units,EU Europe,Ireland,224949.5,225391.6423745453,225834.65378804985,226278.53594862574,226723.2905677423,227168.91936023283,227615.42404430115,228062.8063415282,228511.06797687884,228960.21067870824,229410.2361787688,229861.14621221667,230312.94251761842,230765.62683695788,231219.20091564278,231673.66650251142,232129.02534983956,232585.27921334698,233042.42985220446,233500.47902904043,233959.42850994776,market_potential
1,Robotics & Smart Machines,Weeding robots,Hardware,Units,EU Europe,Italy,602061.5,598132.2044584228,594228.5530801963,590350.3785011942,586497.5144495763,582669.7957386592,578867.0582598343,575089.1389755316,571335.8759122299,567607.1081535125,563902.6758331679,560222.420128336,556566.1832526982,552933.8084497129,549325.1399858954,545740.0231441394,542178.3042170856,538639.83050053,535124.450286878,531632.0128586399,528162.3684819689,market_potential
1,Robotics & Smart Machines,Weeding robots,Hardware,Units,EU Europe,Latvia,98448.0,99355.73532108004,100271.84037453795,101196.39233311168,102129.46908110694,103071.14922095816,104021.5120798499,104980.63771639949,105948.60692740107,106925.50125463196,107911.40299172176,108906.39519108477,109910.56167091623,110923.98702225334,111946.75661610109,112978.95661062394,114020.67395840382,115071.99641376495,116133.01254016638,117203.81171766252,118284.48415043247,market_potential
